GROUP,TYPE (YEAR),Proposal
Unmanned Aerial Vehicles Association at Berkeley,SAG (0),$400.00
Upsilon Pi Epsilon,SAG (3),$500.00
Venture Strategy Solutions,SAG (0),$0.00
Women in Mathematics at Berkeley,SAG (3),$500.00
Yemeni Student Association at Berkeley,SAG (0),$0.00
(RE)generation: Indigenous Social Welfare Caucus,SISG (0),$0.00
100 Strong,SISG (3),$600.00
AAPIHRG,SISG (4) ,$600.00
Academic Cultural Enrichment Coaches,SISG (0),$0.00
Active for Alzheimer's at Berkeley,SISG (0),$0.00
Alpha Kappa Alpha ,SISG (3) ,$600.00
"Alpha Phi Alpha Fraternity, Inc. Alpha Epsilon Chapter",SISG (14),"$2,600.00"
Alternative Breaks,SISG (14),"$3,000.00"
American Bone Health at Berkeley,SISG (2),$600.00
American Red Cross at Cal,SISG (12),"$5,400.00"
Amnesty International,SISG (36),$700.00
ANova,SISG (0),$0.00
Anti-Trafficking Coalition at Berkeley,SISG (8),"$1,500.00"
Arab Recruitment and Retention Center,SISG (2),$600.00
ASUC Student Legal Clinic,SISG (33),"$1,500.00"
Autism Speaks U at Berkeley,SISG (6),$600.00
Bay-Area Environmentally Aware Consulting Network,SISG (9),$650.00
Bears for Elder Welfare,SISG (5),$450.00
Bears for UNICEF,SISG (14),$500.00
BERKELEY Bhagat Puran Singh Health Initiative,SISG (2),$600.00
Berkeley Cambodian Student Association,SISG (2),$800.00
Berkeley Medical Reserve Corps,SISG (3),$600.00
Best Buddies at Berkeley,SISG (10),$500.00
Best Laid Plans,SISG (0),$0.00
Black Recruitment and Retention Center,SISG (34),"$43,800.00"
Blood Pressure Project,SISG (3),$500.00
"Blueprint, Technology for Nonprofits",SISG (5),$300.00
Body Peace,SISG (4),$120.00
bridges Multicultural Resource Center,SISG (20),"$27,300.00"
BUILD Literacy Program,SISG (0),$0.00
Cal Berkeley Habitat for Humanity,SISG (16),"$2,400.00"
Cal in Local Government,SISG (9),"$1,500.00"
Cal Queer & Asian,SISG (7),"$1,100.00"
Cal Veterans Group,SISG (8),"$2,700.00"
CALPIRG - California Public Interest Research Group,SISG (11),$600.00
Camp Kesem Berkeley,SISG (1),$500.00
Campus Ambassadors for Opportunity at Berkeley,SISG (1),$200.00
Chican@/ Latin@ Architecture Student Association,SISG (3),$400.00
Chicano(a)s/Latino(a)s in Health Education,SISG (27),"$3,000.00"
Colleges Against Cancer,SISG (6),"$1,700.00"
Computer Science Mentors,SISG (0),$0.00
CREATE - Creative Residencies for Emerging Artists Teaching Empowerment,SISG (4),$700.00
Dance the Bay,SISG (2),$500.00
Delta Sigma Theta,SISG (15),"$2,500.00"
Disabled Students Union,SISG (12),"$1,400.00"
Dr. Interns,SISG (4),$500.00
Drawn to Scale,SISG (6),$500.00
DULCE (Diabetes: Unidos Lograremos Controlar Esta Enfermedad),SISG (9),$800.00
Effective Altruist of Berkeley,SISG (1),$600.00
Empowered at Berkeley,SISG (0),$0.00
enable EnableTech,SISG (0),$0.00
Engineers Without Borders at Berkeley,SISG (5),$0.00
EthiCAL Apparel,SISG (7),$600.00
Expanding Your Horizons at Berkeley,SISG (5),$600.00
FeelGood Berkeley,SISG (9),"$1,200.00"
"Food, Equity, Entrepreneurship, & Development",SISG (0),$200.00
Foodino,SISG (0),$0.00
gamma rho lambda,SISG (0),$0.00
"Gamma Zeta Alpha Fraternity, Inc.",SISG (9),$600.00
Gates Millennium Scholars Association,SISG (10),$950.00
Get On The Bus DeCal,SISG (0),$0.00
GIANT Filmmakers,SISG (11),"$1,910.00"
Global Health Brigades,SISG (10),$900.00
Global Internships @ Berkeley,SISG (4),$300.00
"Global Social Innovation Initiative at Berkeley, The (GSIIB)",SISG (1),$400.00
Grant a Wish at Berkeley,SISG (4),$300.00
Greening The Greeks,SISG (6),"$1,000.00"
Health and Medical Apprenticeship Program - HMAP,SISG (32),"$13,300.00"
Health Guardians of Berkeley,SISG (5),$400.00
Hermanas Unidas,SISG (11),"$1,300.00"
Hermanos Unidos,SISG (11),"$1,800.00"
Hispanic Engineers and Scientists,SISG (2),$500.00
Hmong Student Association at Berkeley,SISG (9),"$1,800.00"
Homeless Student Union ,SISG (1) ,$0.00
Humanity First at Berkeley,SISG (2),$600.00
