Name,Type,Years of Sponsorship,Funding Request,Finance Officer,Finance Committee,Final Allocation
Fellowship in Christ Berkeley,SAG,9,300.00,300.00,300.00,300.00
Foresight Pre-Optometry Club,SAG,23,1068.00,1068.00,1068.00,1068.00
Formula SAE,SAG,2,2000.00,400.00,400.00,0.00
"Future Business Leaders of America - Phi Beta Lambda, Inc",SAG,10,1600.00,1600.00,1600.00,1600.00
Go Game at Berkeley,SAG,2,540.00,400.00,400.00,400.00
Haas Undergraduate Black Business Association,SAG,8,0.00,0.00,0.00,0.00
Health in All Policies,SAG,1,1500.00,200.00,200.00,200.00
Hindu Students Council,SAG,7,3255.00,700.00,1250.00,1250.00
Hong Kong Student Association,SAG,22,1200.00,1200.00,1200.00,1200.00
Horn of Africa Student Association (formerly Ethiopian Student Union),SAG,19,1500.00,1000.00,1000.00,1000.00
Human Rights of the Incarcerated Coalition @ Cal,SAG,2,250.00,250.00,250.00,250.00
Humans of Berkeley,SAG,1,500.00,200.00,200.00,200.00
Indian Students Association,SAG,11,9400.00,3500.00,7000.00,7000.00
INDUS,SAG,26,6000.00,4000.00,10000.00,10000.00
Ink At Berkeley,SAG,1,500.00,200.00,200.00,200.00
Institute of Transportation Engineers at Berkeley,SAG,8,0.00,0.00,0.00,0.00
International Fraternity of Delta Sigma Pi,SAG,9,3500.00,1600.00,1600.00,1600.00
International Justice Mission Campus Chapter at Berkeley,SAG,4,300.00,300.00,300.00,300.00
International Socialist Organization,SAG,2,300.00,300.00,300.00,300.00
International Students' Advisory Committee,SAG,2,500.00,400.00,400.00,400.00
International Students Association at Berkeley,SAG,14,750.00,750.00,750.00,750.00
International Youth and Students for Social Equality,SAG,2,550.00,400.00,400.00,400.00
InterVarsity Christian Fellowship,SAG,16,4000.00,3200.00,3200.00,3200.00
Investment Banking Student Association of Berkeley,SAG,1,390.00,200.00,200.00,200.00
Iranian Student Alliance in America,SAG,11,500.00,500.00,500.00,500.00
Iranian Student Cultural Organization,SAG,18,3000.00,2200.00,2200.00,2200.00
Irish Dancers of Berkeley,SAG,1,70.00,70.00,70.00,70.00
Italian International Student Association,SAG,14,2600.00,800.00,800.00,800.00
Jericho!,SAG,9,650.00,650.00,650.00,650.00
Jewish Student Union,SAG,37,70645.00,13000.00,13000.00,13000.00
Kairos Christian Fellowship,SAG,7,700.00,700.00,700.00,700.00
Kappa Gamma Delta,SAG,12,1100.00,1100.00,1100.00,1100.00
Kendo Club,SAG,1,400.00,200.00,200.00,200.00
